Player Name,Role,player_origin,Amount
Shivam Mavi,Bowler,Indian,60000000
Joshua Little,Bowler,Overseas,44000000
Kane Williamson,Batsman,Overseas,20000000
K.S. Bharat,Wicket Keeper,Indian,12000000
Mohit Sharma,Bowler,Indian,5000000
Odean Smith,All-Rounder,Overseas,5000000
Urvil Patel,Wicket Keeper,Indian,2000000
Ben Stokes,All-Rounder,Overseas,162500000
Kyle Jamieson,Bowler,Overseas,10000000
Nishant Sindhu,All-Rounder,Indian,6000000
Ajinkya Rahane,Batsman,Indian,5000000
Bhagath Varma,All-Rounder,Indian,2000000
Ajay Mandal,All-Rounder,Indian,2000000
Shaik Rasheed,Batsman,Indian,2000000
Mukesh Kumar,Bowler,Indian,55000000
Rilee Rossouw,Batsman,Overseas,46000000
Manish Pandey,Batsman,Indian,24000000
Phil Salt,Wicket Keeper,Indian,20000000
Ishant Sharma,Bowler,Indian,5000000
Shakib Al Hasan,All-Rounder,Overseas,15000000
David Wiese,All-Rounder,Overseas,10000000
N. Jagadeesan,Wicket Keeper,Indian,9000000
Vaibhav Arora,Bowler,Indian,6000000
Litton Das,Wicket Keeper,Overseas,5000000
Mandeep Singh,Batsman,Indian,5000000
Kulwant Khejroliya,Bowler,Indian,2000000
Suyash Sharma,Bowler,Indian,2000000
Sam Curran,All-Rounder,Overseas,185000000
Sikandar Raza,All-Rounder,Overseas,5000000
Harpreet Bhatia,Batsman,Indian,4000000
Mohit Rathee,All-Rounder,Indian,2000000
Vidwath Kaverappa,Bowler,Indian,2000000
Shivam Singh,Wicket Keeper,Indian,2000000
Nicholas Pooran,Wicket Keeper,Overseas,160000000
Daniel Sams,All-Rounder,Overseas,7500000
Jaydev Unadkat,Bowler,Indian,5000000
Naveen Ul Haq,Bowler,Overseas,5000000
Amit Mishra,Bowler,Indian,5000000
Romario Shepherd,All-Rounder,Overseas,5000000
Yash Thakur,Bowler,Indian,4500000
Swapnil Singh,All-Rounder,Indian,2000000
Yudhvir Charak,All-Rounder,Indian,2000000
Prerak Mankad,All-Rounder,Indian,2000000
Cameron Green,All-Rounder,Overseas,175000000
Jhye Richardson,Bowler,Overseas,15000000
Piyush Chawla,Bowler,Indian,5000000
Raghav Goyal,Bowler,Indian,2000000
Shams Mulani,All-Rounder,Indian,2000000
Nehal Wadhera,All-Rounder,Indian,2000000
Vishnu Vinod,Wicket Keeper,Indian,2000000
Duan Jansen,All-Rounder,Overseas,2000000
Will Jacks,Batsman,Overseas,32000000
Reece Topley,Bowler,Overseas,19000000
Rajan Kumar,Bowler,Indian,7000000
Avinash Singh,Bowler,Indian,6000000
Manoj Bhandage,All-Rounder,Indian,2000000
Sonu Yadav,All-Rounder,Indian,2000000
Himanshu Sharma,Bowler,Indian,2000000
Jason Holder,All-Rounder,Overseas,57500000
Adam Zampa,Bowler,Overseas,15000000
Joe Root,Batsman,Overseas,10000000
Donovan Ferreira,Wicket Keeper,Overseas,5000000
K.M. Asif,Bowler,Indian,3000000
Kunal Rathore,Wicket Keeper,Indian,2000000
Abdul P A,All-Rounder,Indian,2000000
Akash Vashisht,All-Rounder,Indian,2000000
Murugan Ashwin,Bowler,Indian,2000000
Harry Brook,Batsman,Overseas,132500000
Mayank Agarwal,Batsman,Indian,82500000
Heinrich Klaasen,Wicket Keeper,Overseas,52500000
Vivrant Sharma,All-Rounder,Indian,26000000
Adil Rashid,Bowler,Overseas,20000000
Mayank Dagar,All-Rounder,Indian,18000000
Akeal Hosein,Bowler,Overseas,10000000
Mayank Markande,Bowler,Indian,5000000
Upendra Singh Yadav,Wicket Keeper,Indian,2500000
Nitish Kumar Reddy,Wicket Keeper,Indian,2000000
Samarth Vyas,All-Rounder,Indian,2000000
Anmolpreet Singh,Batsman,Indian,2000000
Sanvir Singh,All-Rounder,Indian,2000000
