player,amount,year
abdul samad,,
abhijeet tomar,4000000.0,2022.0
abhinav manohar,26000000.0,2022.0
abhishek sharma,65000000.0,2022.0
adam milne,19000000.0,2022.0
aiden markram,26000000.0,2022.0
ajinkya rahane,10000000.0,2022.0
alex hales,15000000.0,2022.0
alzarri joseph,24000000.0,2022.0
aman khan,2000000.0,2022.0
ambati rayudu,67500000.0,2022.0
anmolpreet singh,2000000.0,2022.0
anrich nortje,,
anuj rawat,34000000.0,2022.0
arshdeep singh,,
avesh khan,100000000.0,2022.0
axar patel,,
ayush badoni,2000000.0,2022.0
basil thampi,3000000.0,2022.0
ben stokes,,
bhanuka rajapaksa,5000000.0,2022.0
bhuvneshwar kumar,42000000.0,2022.0
chetan sakariya,42000000.0,2022.0
chris jordan,36000000.0,2022.0
chris lynn,,
dale steyn,,
daniel sams,26000000.0,2022.0
daryl mitchell,7500000.0,2022.0
david miller,30000000.0,2022.0
david warner,62500000.0,2022.0
david willey,20000000.0,2022.0
deepak chahar,140000000.0,2022.0
deepak hooda,57500000.0,2022.0
devdutt padikkal,77500000.0,2022.0
devon conway,10000000.0,2022.0
dewald brevis,30000000.0,2022.0
dinesh karthik,55000000.0,2022.0
dwaine pretorius,5000000.0,2022.0
dwayne bravo,44000000.0,2022.0
evin lewis,20000000.0,2022.0
fabian allen,7500000.0,2022.0
faf du plessis,70000000.0,2022.0
faf du plessis,70000000.0,2022.0
fazalhaq farooqi,5000000.0,2022.0
glenn phillips,15000000.0,2022.0
hardik pandya,,
harpreet brar,38000000.0,2022.0
harshal patel,107500000.0,2022.0
heinrich klaasen,,
hrithik shokeen,2000000.0,2022.0
ishan kishan,152500000.0,2022.0
jagadeesha suchith,2000000.0,2022.0
james neesham,15000000.0,2022.0
jason holder,87500000.0,2022.0
jason roy,20000000.0,2022.0
jayant yadav,17000000.0,2022.0
jaydev unadkat,13000000.0,2022.0
jitesh sharma,2000000.0,2022.0
jofra archer,80000000.0,2022.0
jonny bairstow,67500000.0,2022.0
jos buttler,,
josh hazlewood,77500000.0,2022.0
kl rahul,,
kagiso rabada,92500000.0,2022.0
kamlesh nagarkoti,11000000.0,2022.0
kane williamson,,
karan sharma,2000000.0,2022.0
karn sharma,5000000.0,2022.0
kartik tyagi,40000000.0,2022.0
karun nair,14000000.0,2022.0
krishnappa gowtham,9000000.0,2022.0
krunal pandya,82500000.0,2022.0
kuldeep yadav,20000000.0,2022.0
kuldip yadav,2000000.0,2022.0
lalit yadav,6500000.0,2022.0
liam livingstone,115000000.0,2022.0
lockie ferguson,100000000.0,2022.0
maheesh theekshana,7000000.0,2022.0
mahipal lomror,9500000.0,2022.0
manan vohra,2000000.0,2022.0
mandeep singh,11000000.0,2022.0
manish pandey,46000000.0,2022.0
marco jansen,42000000.0,2022.0
mark wood,75000000.0,2022.0
matthew wade,24000000.0,2022.0
mayank agarwal,,
mayank markande,6500000.0,2022.0
mitchell marsh,65000000.0,2022.0
mitchell santner,19000000.0,2022.0
mohammad nabi,10000000.0,2022.0
mohammad shami,62500000.0,2022.0
mohsin khan,2000000.0,2022.0
mukesh choudhary,2000000.0,2022.0
murugan ashwin,16000000.0,2022.0
mustafizur rahman,20000000.0,2022.0
nathan coulter-nile,20000000.0,2022.0
nathan ellis,7500000.0,2022.0
navdeep saini,26000000.0,2022.0
nicholas pooran,,
nitish rana,80000000.0,2022.0
obed mccoy,7500000.0,2022.0
odean smith,60000000.0,2022.0
pat cummins,72500000.0,2022.0
prabhsimran singh,6000000.0,2022.0
pradeep sangwan,2000000.0,2022.0
prasidh krishna,100000000.0,2022.0
pravin dubey,5000000.0,2022.0
pravin tambe,,
prerak mankad,2000000.0,2022.0
priyam garg,2000000.0,2022.0
quinton de kock,67500000.0,2022.0
quinton de kock,67500000.0,2022.0
rahul chahar,52500000.0,2022.0
rahul tewatia,90000000.0,2022.0
rahul tripathi,85000000.0,2022.0
ramandeep singh,2000000.0,2022.0
rassie van der dussen,10000000.0,2022.0
ravichandran ashwin,,
ravindra jadeja,,
rinku singh,5500000.0,2022.0
ripal patel,2000000.0,2022.0
rishabh pant,,
rishi dhawan,5500000.0,2022.0
riyan parag,38000000.0,2022.0
robin uthappa,20000000.0,2022.0
romario shepherd,77500000.0,2022.0
rovman powell,28000000.0,2022.0
sam billings,20000000.0,2022.0
sam curran,,
sandeep sharma,5000000.0,2022.0
sarfaraz khan,2000000.0,2022.0
sean abbott,24000000.0,2022.0
shahbaz nadeem,5000000.0,2022.0
shahrukh khan,90000000.0,2022.0
shane watson,,
shardul thakur,107500000.0,2022.0
shashank singh,2000000.0,2022.0
sheldon jackson,6000000.0,2022.0
sherfane rutherford,10000000.0,2022.0
shikhar dhawan,82500000.0,2022.0
shimron hetmyer,85000000.0,2022.0
shivam dube,40000000.0,2022.0
shivam mavi,72500000.0,2022.0
shreyas gopal,7500000.0,2022.0
shreyas iyer,122500000.0,2022.0
shubman gill,,
simarjeet singh,2000000.0,2022.0
tim david,82500000.0,2022.0
tim seifert,5000000.0,2022.0
tim southee,15000000.0,2022.0
trent boult,80000000.0,2022.0
tushar deshpande,2000000.0,2022.0
tymal mills,15000000.0,2022.0
umesh yadav,20000000.0,2022.0
vaibhav arora,20000000.0,2022.0
varun aaron,5000000.0,2022.0
vijay shankar,14000000.0,2022.0
virat kohli,,
vishnu vinod,5000000.0,2022.0
wanindu hasaranga,107500000.0,2022.0
washington sundar,87500000.0,2022.0
wriddhiman saha,19000000.0,2022.0
yuvraj singh,,
yuzvendra chahal,65000000.0,2022.0
akash deep,2000000.0,2022.0
anukul roy,2000000.0,2022.0
darshan nalkande,2000000.0,2022.0
ishan porel,2500000.0,2022.0
jason behrendorff,7500000.0,2022.0
kuldeep sen,2000000.0,2022.0
prashant solanki,12000000.0,2022.0
riley meredith,10000000.0,2022.0
yash dayal,32000000.0,2022.0
