player,matches,innings,number_of_not_outs,tot_runs,highest_score,tot_balls_faced,number_of_hundreds,number_of_fifties,number_of_fours,number_of_sixes,average,strike_rate
AB de Villiers,80,77,17,2592,129,1629,1,25,195,148,32.4000000000000000,159.1160220994475100
Aaron Finch,48,46,4,1094,74,820,0,8,104,46,22.7916666666666667,133.4146341463414600
Abdul Samad,23,18,4,222,33,152,0,0,12,14,9.6521739130434783,146.0526315789473700
Abhishek Sharma,22,20,6,241,46,173,0,0,17,12,10.9545454545454545,139.3063583815028900
Adam Milne,8,6,2,23,15,29,0,0,0,1,2.8750000000000000,79.31034482758620689700
Adam Zampa,11,2,0,5,5,8,0,0,1,0,0.45454545454545454545,62.50000000000000000000
Aditya Tare,6,5,0,26,18,38,0,0,4,0,4.3333333333333333,68.42105263157894736800
Aiden Markram,6,6,1,146,42,119,0,0,12,4,24.3333333333333333,122.6890756302521000
Ajinkya Rahane,70,66,6,1746,105,1415,1,11,186,34,24.9428571428571429,123.3922261484098900
Akila Dananjaya,1,1,1,4,4,5,0,0,0,0,4.0000000000000000,80.00000000000000000000
Akshdeep Nath,14,10,0,90,24,98,0,0,7,2,6.4285714285714286,91.83673469387755102000
Albie Morkel,2,1,0,16,16,9,0,0,0,2,8.0000000000000000,177.7777777777777800
Alex Carey,3,3,1,32,14,29,0,0,0,1,10.6666666666666667,110.3448275862069000
Alex Hales,6,6,0,148,45,118,0,0,13,6,24.6666666666666667,125.4237288135593200
Alzarri Joseph,3,2,2,15,15,13,0,0,2,0,5.0000000000000000,115.3846153846153800
Ambati Rayudu,79,74,14,1925,100,1513,1,10,154,85,24.3670886075949367,127.2306675479180400
Amit Mishra,49,13,8,75,13,92,0,0,4,2,1.5306122448979592,81.52173913043478260900
Andre Russell,62,53,10,1314,88,735,0,6,81,121,21.1935483870967742,178.7755102040816300
Andrew Tye,27,13,4,91,25,76,0,0,6,5,3.3703703703703704,119.7368421052631600
Angelo Mathews,3,2,0,32,31,27,0,0,2,1,10.6666666666666667,118.5185185185185200
Aniket Choudhary,5,3,2,25,15,20,0,0,1,1,5.0000000000000000,125.0000000000000000
Ankit Bawne,1,1,1,12,12,12,0,0,1,0,12.0000000000000000,100.00000000000000000000
Ankit Rajpoot,19,6,1,24,8,35,0,0,2,1,1.2631578947368421,68.57142857142857142900
Ankit Sharma,4,2,1,28,25,18,0,0,2,1,7.0000000000000000,155.5555555555555600
Ankit Soni,7,3,1,7,7,9,0,0,0,1,1.00000000000000000000,77.77777777777777777800
Anmolpreet Singh,1,1,0,16,16,14,0,0,2,1,16.0000000000000000,114.2857142857142900
Anrich Nortje,16,5,4,7,3,6,0,0,0,0,0.43750000000000000000,116.6666666666666700
Anuj Rawat,2,1,0,0,0,1,0,0,0,0,0.00000000000000000000,0.00000000000000000000
Anureet Singh,4,2,1,18,15,16,0,0,2,0,4.5000000000000000,112.5000000000000000
Arshdeep Singh,20,3,2,2,1,6,0,0,0,0,0.10000000000000000000,33.33333333333333333300
Ashish Nehra,8,2,2,1,1,1,0,0,0,0,0.12500000000000000000,100.00000000000000000000
Ashish Reddy,4,3,1,47,32,29,0,0,2,4,11.7500000000000000,162.0689655172413800
Ashok Dinda,3,1,0,7,7,7,0,0,1,0,2.3333333333333333,100.00000000000000000000
Ashton Turner,4,4,1,3,3,10,0,0,0,0,0.75000000000000000000,30.00000000000000000000
Avesh Khan,17,2,2,9,5,6,0,0,2,0,0.52941176470588235294,150.0000000000000000
Axar Patel,78,58,18,685,44,527,0,0,36,35,8.7820512820512821,129.9810246679316900
Barinder Sran,22,9,8,10,3,14,0,0,0,0,0.45454545454545454545,71.42857142857142857100
Basil Thampi,19,8,7,32,13,35,0,0,1,1,1.6842105263157895,91.42857142857142857100
Ben Cutting,20,16,6,230,39,135,0,0,15,18,11.5000000000000000,170.3703703703703700
Ben Laughlin,7,2,1,1,1,4,0,0,0,0,0.14285714285714285714,25.00000000000000000000
Ben Stokes,43,42,6,920,107,684,2,2,79,32,21.3953488372093023,134.5029239766081900
Bhuvneshwar Kumar,73,27,13,106,21,98,0,0,11,1,1.4520547945205479,108.1632653061224500
Billy Stanlake,4,1,1,5,5,2,0,0,1,0,1.2500000000000000,250.0000000000000000
Bipul Sharma,14,7,4,82,27,49,0,0,3,6,5.8571428571428571,167.3469387755102000
Brendon McCullum,33,33,0,800,72,567,0,3,83,40,24.2424242424242424,141.0934744268077600
Carlos Brathwaite,16,14,1,181,43,111,0,0,10,16,11.3125000000000000,163.0630630630630600
Chetan Sakariya,14,6,1,16,7,25,0,0,2,0,1.1428571428571429,64.00000000000000000000
Chris Gayle,60,60,4,1766,104,1248,1,13,143,127,29.4333333333333333,141.5064102564102600
Chris Jordan,23,9,2,64,30,57,0,0,3,3,2.7826086956521739,112.2807017543859600
Chris Lynn,39,39,3,1265,93,887,0,10,126,63,32.4358974358974359,142.6155580608793700
Chris Morris,54,38,14,528,82,336,0,2,38,30,9.7777777777777778,157.1428571428571400
Chris Woakes,21,12,6,78,18,77,0,0,7,2,3.7142857142857143,101.2987012987013000
Colin Ingram,12,12,2,184,47,154,0,0,20,5,15.3333333333333333,119.4805194805194800
Colin Munro,13,12,0,177,40,141,0,0,19,8,13.6153846153846154,125.5319148936170200
Colin de Grandhomme,25,21,5,303,40,225,0,0,18,18,12.1200000000000000,134.6666666666666700
Corey Anderson,14,14,4,159,41,145,0,0,8,10,11.3571428571428571,109.6551724137931000
"D'Arcy Short",7,7,0,115,44,99,0,0,11,5,16.4285714285714286,116.1616161616161600
Dale Steyn,4,2,1,2,1,4,0,0,0,0,0.50000000000000000000,50.00000000000000000000
Dan Christian,26,19,6,119,17,106,0,0,6,6,4.5769230769230769,112.2641509433962300
Daniel Sams,5,3,1,6,3,8,0,0,0,0,1.2000000000000000,75.00000000000000000000
Darren Bravo,1,1,1,6,6,5,0,0,1,0,6.0000000000000000,120.0000000000000000
David Miller,41,38,10,655,62,552,0,2,48,20,15.9756097560975610,118.6594202898550700
