player,matches,innings,number_of_overs,runs,wickets,number_of_four_fers,number_of_five_fers,max_number_of_wickets_per_match,number_of_balls_bowled,average,strike_rate
Abdul Samad,12,3,7.0,96,1,0,0,1,42,96,42
Abhishek Sharma,19,14,22.0,176,7,0,0,2,132,25.142857142857142,18.857142857142858
Adam Milne,9,9,32.0,308,7,0,0,2,192,44,27.428571428571427
Adam Zampa,14,14,48.0,370,21,0,1,6,288,17.61904761904762,13.714285714285714
Albie Morkel,2,2,5.0,66,2,0,0,4,30,33,15
Alzarri Joseph,3,3,8.0,87,6,0,1,6,48,14.5,8
Amit Mishra,56,56,186.0,1402,55,1,0,5,1116,25.490909090909092,20.29090909090909
Andre Russell,62,54,141.0,1296,56,1,1,5,846,23.142857142857142,15.107142857142858
Andrew Tye,27,27,103.0,872,40,3,1,5,618,21.8,15.45
Aniket Choudhary,5,5,17.0,144,5,0,0,2,102,28.8,20.4
Ankit Rajpoot,27,27,84.0,779,23,0,1,5,504,33.869565217391305,21.91304347826087
Ankit Sharma,3,3,11.0,84,1,0,0,2,66,84,66
Ankit Soni,7,6,18.0,144,2,0,0,1,108,72,54
Anrich Nortje,24,24,91.0,699,34,0,0,3,546,20.558823529411764,16.058823529411764
Anukul Roy,1,1,2.0,11,1,0,0,1,12,11,12
Anureet Singh,3,3,4.0,42,1,0,0,3,24,42,24
Arshdeep Singh,23,23,76.0,669,30,0,1,5,456,22.3,15.2
Ashish Nehra,14,14,47.0,396,17,0,0,4,282,23.294117647058822,16.58823529411765
Ashish Reddy,4,2,4.0,39,1,0,0,3,24,39,24
Ashok Dinda,12,12,40.0,350,12,0,0,4,240,29.166666666666668,20
Avesh Khan,23,23,84.0,677,29,0,0,3,504,23.344827586206897,17.379310344827587
Axar Patel,78,77,270.0,1965,65,1,0,4,1620,30.23076923076923,24.923076923076923
Barinder Sran,20,20,71.0,642,18,0,0,3,426,35.666666666666664,23.666666666666668
Basil Thampi,17,17,58.0,584,17,0,0,3,348,34.35294117647059,20.470588235294116
Ben Cutting,20,16,42.0,398,9,0,0,2,252,44.22222222222222,28
Ben Laughlin,7,7,21.0,211,9,0,0,2,126,23.444444444444443,14
Ben Stokes,42,36,113.0,962,28,0,0,3,678,34.357142857142854,24.214285714285715
Bhuvneshwar Kumar,73,73,279.0,2108,80,1,1,5,1674,26.35,20.925
Billy Stanlake,6,6,24.0,200,7,0,0,2,144,28.571428571428573,20.571428571428573
Bipul Sharma,14,13,30.0,250,6,0,0,2,180,41.666666666666664,30
Brad Hogg,5,5,16.0,142,4,0,0,4,96,35.5,24
Carlos Brathwaite,14,14,39.0,346,13,0,0,3,234,26.615384615384617,18
Chetan Sakariya,14,14,52.0,426,14,0,0,3,312,30.428571428571427,22.285714285714285
Chris Gayle,10,4,10.0,63,2,0,0,3,60,31.5,30
Chris Jordan,22,22,71.0,658,24,1,0,4,426,27.416666666666668,17.75
Chris Morris,54,54,194.0,1583,67,1,0,4,1164,23.62686567164179,17.37313432835821
Chris Woakes,21,21,73.0,658,30,0,0,3,438,21.933333333333334,14.6
Colin de Grandhomme,21,16,31.0,264,6,0,0,3,186,44,31
Corey Anderson,14,11,27.0,301,6,0,0,2,162,50.166666666666664,27
"D'Arcy Short",7,2,3.0,19,1,0,0,1,18,19,18
Dale Steyn,5,5,19.0,202,5,0,0,3,114,40.4,22.8
Dan Christian,26,26,68.0,554,19,0,0,2,408,29.157894736842106,21.473684210526315
Daniel Sams,2,2,6.0,39,1,0,0,1,36,39,36
David Willey,3,3,10.0,95,2,0,0,1,60,47.5,30
Deepak Chahar,61,61,215.0,1681,59,2,0,4,1290,28.491525423728813,21.864406779661017
Deepak Hooda,50,18,35.0,296,8,0,0,2,210,37,26.25
Dhawal Kulkarni,38,38,123.0,1060,31,1,0,4,738,34.193548387096776,23.806451612903224
Dwayne Bravo,60,60,204.0,1800,62,1,0,4,1224,29.032258064516128,19.741935483870968
Dwayne Smith,24,17,31.0,301,10,1,0,4,186,30.1,18.6
Fabian Allen,4,3,11.0,90,1,0,0,1,66,90,66
George Garton,5,5,15.0,135,3,0,0,1,90,45,30
Glenn Maxwell,54,31,72.0,561,18,0,0,2,432,31.166666666666668,24
Glenn Phillips,3,2,2.0,20,1,0,0,1,12,20,12
Gurkeerat Mann Singh,7,3,4.0,31,2,0,0,2,24,15.5,12
Harbhajan Singh,49,48,166.0,1240,40,0,0,5,996,31,24.9
Hardik Pandya,57,52,126.0,1137,41,0,0,3,756,27.73170731707317,18.4390243902439
Hardus Viljoen,6,6,23.0,222,7,0,0,2,138,31.714285714285715,19.714285714285715
Harpreet Brar,7,7,23.0,139,5,0,0,3,138,27.8,27.6
Harry Gurney,8,8,27.0,238,7,0,0,2,162,34,23.142857142857142
Harshal Patel,33,33,114.0,1027,48,1,1,5,684,21.395833333333332,14.25
Imran Tahir,43,43,162.0,1218,58,2,0,4,972,21,16.75862068965517
Iqbal Abdulla,10,10,30.0,268,8,0,0,3,180,33.5,22.5
Ish Sodhi,8,8,30.0,202,9,0,0,3,180,22.444444444444443,20
Ishan Porel,1,1,4.0,39,1,0,0,1,24,39,24
Ishant Sharma,20,20,73.0,594,17,0,0,5,438,34.94117647058823,25.764705882352942
Isuru Udana,10,10,29.0,282,8,0,0,2,174,35.25,21.75
JP Duminy,10,5,7.0,55,2,0,0,4,42,27.5,21
Jagadeesha Suchith,1,1,4.0,28,2,0,0,2,24,14,12
James Faulkner,15,15,43.0,425,8,0,0,5,258,53.125,32.25
James Pattinson,10,10,35.0,320,11,0,0,2,210,29.09090909090909,19.09090909090909
Jason Behrendorff,5,5,19.0,165,5,0,0,2,114,33,22.8
Jason Holder,19,19,73.0,583,32,1,0,4,438,18.21875,13.6875
Jasprit Bumrah,89,89,341.0,2440,119,2,0,4,2046,20.50420168067227,17.19327731092437
Javon Searles,4,3,7.0,89,2,0,0,1,42,44.5,21
Jayant Yadav,14,14,48.0,348,6,0,0,1,288,58,48
Jaydev Unadkat,51,51,178.0,1602,53,0,1,5,1068,30.22641509433962,20.150943396226417
Jhye Richardson,3,3,11.0,117,3,0,0,2,66,39,22
Jimmy Neesham,8,8,24.0,214,7,0,0,3,144,30.571428571428573,20.571428571428573
Jofra Archer,35,35,137.0,981,46,0,0,3,822,21.32608695652174,17.869565217391305
John Hastings,2,2,6.0,37,2,0,0,2,36,18.5,18
Josh Hazlewood,12,12,45.0,357,12,0,0,3,270,29.75,22.5
KC Cariappa,9,9,32.0,286,7,0,0,2,192,40.857142857142854,27.428571428571427
KM Asif,3,3,8.0,93,4,0,0,2,48,23.25,12
Kagiso Rabada,50,50,189.0,1560,76,2,0,4,1134,20.526315789473685,14.921052631578947
Kamlesh Nagarkoti,10,9,26.0,231,5,0,0,2,156,46.2,31.2
Kane Richardson,5,5,17.0,165,8,0,0,3,102,20.625,12.75
Karn Sharma,21,20,61.0,501,23,1,0,4,366,21.782608695652176,15.91304347826087
Kartik Tyagi,14,14,52.0,491,13,0,0,2,312,37.76923076923077,24
Keemo Paul,8,8,27.0,237,9,0,0,3,162,26.333333333333332,18
Khaleel Ahmed,23,23,87.0,748,32,0,0,3,522,23.375,16.3125
Kieron Pollard,30,20,34.0,285,9,0,0,4,204,31.666666666666668,22.666666666666668
Krishnappa Gowtham,24,24,68.0,562,13,0,0,2,408,43.23076923076923,31.384615384615383
Krunal Pandya,84,81,240.0,1773,51,0,0,3,1440,34.76470588235294,28.235294117647058
Kuldeep Yadav,45,43,149.0,1236,40,1,0,4,894,30.9,22.35
Kulwant Khejroliya,5,5,16.0,154,3,0,0,2,96,51.333333333333336,32
Kyle Abbott,5,5,16.0,177,2,0,0,1,96,88.5,48
Kyle Jamieson,9,9,28.0,269,9,0,0,3,168,29.88888888888889,18.666666666666668
Lalit Yadav,7,5,14.0,101,4,0,0,2,84,25.25,21
Lasith Malinga,24,24,90.0,820,27,2,0,5,540,30.37037037037037,20
Liam Plunkett,7,7,25.0,225,4,0,0,3,150,56.25,37.5
Lockie Ferguson,22,22,80.0,648,24,0,0,3,480,27,20
Lukman Meriwala,1,1,3.0,32,1,0,0,1,18,32,18
Lungi Ngidi,14,14,54.0,448,25,1,0,4,324,17.92,12.96
Mahipal Lomror,4,4,7.0,47,1,0,0,1,42,47,42
Marco Jansen,2,2,6.0,45,2,0,0,2,36,22.5,18
Marcus Stoinis,56,45,100.0,969,30,1,0,4,600,32.3,20
Matt Henry,2,2,5.0,71,1,0,0,1,30,71,30
Mayank Markande,17,17,50.0,427,16,1,0,4,300,26.6875,18.75
Mitchell Johnson,14,14,52.0,463,11,0,0,3,312,42.09090909090909,28.363636363636363
Mitchell Marsh,3,3,9.0,45,4,0,0,4,54,11.25,13.5
Mitchell McClenaghan,44,44,165.0,1417,53,1,0,4,990,26.735849056603772,18.67924528301887
Mitchell Santner,6,6,21.0,147,6,0,0,2,126,24.5,21
Moeen Ali,34,27,68.0,469,16,0,0,3,408,29.3125,25.5
Mohammad Nabi,16,16,53.0,385,13,1,0,4,318,29.615384615384617,24.46153846153846
Mohammad Shami,62,62,224.0,1955,71,0,0,3,1344,27.535211267605632,18.929577464788732
Mohammed Siraj,50,50,171.0,1437,50,1,0,4,1026,28.74,20.52
Mohit Sharma,39,39,129.0,1211,35,0,0,4,774,34.6,22.114285714285714
Moises Henriques,34,34,86.0,708,17,0,0,3,516,41.64705882352941,30.352941176470587
Morne Morkel,10,10,35.0,297,10,0,0,4,210,29.7,21
Mujeeb Ur Rahman,17,17,64.0,509,19,0,0,3,384,26.789473684210527,20.210526315789473
Munaf Patel,2,2,7.0,57,1,0,0,5,42,57,42
Murugan Ashwin,34,34,111.0,881,26,0,0,3,666,33.88461538461539,25.615384615384617
Mustafizur Rahman,37,37,140.0,1087,38,0,0,3,840,28.605263157894736,22.105263157894736
Nathan Coulter-Nile,24,24,89.0,675,30,1,0,4,534,22.5,17.8
Nathan Ellis,3,3,12.0,98,1,0,0,1,72,98,72
Nathu Singh,2,2,4.0,15,1,0,0,1,24,15,24
Navdeep Saini,26,26,93.0,776,17,0,0,2,558,45.64705882352941,32.8235294117647
Nitish Rana,29,11,14.0,116,7,0,0,2,84,16.571428571428573,12
Oshane Thomas,4,4,10.0,79,5,0,0,2,60,15.8,12
Parveez Rasool,4,4,14.0,129,1,0,0,1,84,129,84
Pat Cummins,33,33,125.0,1019,36,1,0,4,750,28.305555555555557,20.833333333333332
Pawan Negi,29,23,56.0,432,21,0,0,4,336,20.571428571428573,16
Piyush Chawla,54,53,173.0,1492,48,0,0,4,1038,31.083333333333332,21.625
Pradeep Sahu,5,5,17.0,146,3,0,0,2,102,48.666666666666664,34
Pradeep Sangwan,5,5,18.0,181,5,0,0,3,108,36.2,21.6
Prasidh Krishna,34,34,123.0,1152,30,1,0,4,738,38.4,24.6
Praveen Kumar,22,22,67.0,552,15,0,0,3,402,36.8,26.8
Pravin Tambe,7,7,16.0,143,5,0,0,4,96,28.6,19.2
Prithvi Raj Yarra,2,2,5.0,57,1,0,0,1,30,57,30
RP Singh,4,4,12.0,111,3,0,0,4,72,37,24
Rahul Chahar,42,41,150.0,1117,43,1,0,4,900,25.976744186046513,20.930232558139537
Rahul Tewatia,44,41,120.0,930,29,0,0,3,720,32.06896551724138,24.82758620689655
Rajagopal Sathish,4,3,6.0,59,1,0,0,1,36,59,36
Rajat Bhatia,13,13,41.0,299,8,0,0,4,246,37.375,30.75
Rashid Khan,76,76,302.0,1912,93,0,0,3,1812,20.559139784946236,19.483870967741936
Ravi Bishnoi,23,23,86.0,598,24,0,0,3,516,24.916666666666668,21.5
Ravichandran Ashwin,70,70,244.0,1851,55,1,0,4,1464,33.654545454545456,26.618181818181817
Ravindra Jadeja,89,85,258.0,1970,58,0,0,5,1548,33.96551724137931,26.689655172413794
Riley Meredith,5,5,17.0,169,4,0,0,1,102,42.25,25.5
Rishi Dhawan,2,2,7.0,56,2,0,0,2,42,28,21
Riyan Parag,18,13,20.0,194,3,0,0,1,120,64.66666666666667,40
Sachin Baby,11,2,1.0,8,2,0,0,2,6,4,3
Sam Curran,32,31,108.0,995,32,1,0,4,648,31.09375,20.25
Samuel Badree,7,7,25.0,188,9,1,0,4,150,20.88888888888889,16.666666666666668
Sandeep Lamichhane,9,9,35.0,292,13,0,0,3,210,22.46153846153846,16.153846153846153
Sandeep Sharma,70,70,259.0,2026,73,1,0,4,1554,27.753424657534246,21.28767123287671
Sandeep Warrier,3,3,12.0,85,2,0,0,2,72,42.5,36
Scott Boland,2,2,7.0,54,2,0,0,2,42,27,21
Scott Kuggeleijn,2,2,8.0,71,2,0,0,2,48,35.5,24
