player,role,amount,team,year,player_origin
Aaron Finch,Batsman,44000000,Royal Challengers Bangalore,2020,Overseas
Abdul Samad,All-Rounder,2000000,Sunrisers Hyderabad,2020,Indian
Abhimanyu Mithun,Bowler,3000000,Sunrisers Hyderabad,2016,Indian
Abhishek Nayar,All-Rounder,10000000,Rajasthan Royals,2014,Indian
Abhishek Sharma,All-Rounder,5500000,Delhi Daredevils,2018,Indian
Abu Nechim Ahmed,Bowler,3000000,Royal Challengers Bangalore,2014,Indian
Adam Milne,Bowler,32000000,Mumbai Indians,2021,Overseas
Adam Zampa,Bowler,3000000,Rising Pune Supergiant,2016,Overseas
Aditya Garhwal,All-Rounder,2500000,Kolkata Knight Riders,2015,Indian
Aditya Tare,Wicket Keeper,2000000,Mumbai Indians,2018,Indian
Agnivesh Ayachi,All-Rounder,2000000,Kings XI Punjab,2019,Indian
Aiden Blizzard,Batsman,3000000,Mumbai Indians,2015,Overseas
Ajantha Mendis,Bowler,54375000,Pune Warriors India,2013,Overseas
Ajinkya Rahane,Batsman,40000000,Rajasthan Royals,2018,Indian
Akash Singh,Bowler,2000000,Rajasthan Royals,2021,Indian
Akhil Arvind Herwadkar,All-Rounder,1000000,Delhi Daredevils,2016,Indian
Akila Dananjaya,All-Rounder,1500000,Chennai Super Kings,2013,Overseas
Akila Dhananjaya,Bowler,5000000,Mumbai Indians,2018,Overseas
Akshar Rajesh Patel,All-Rounder,7500000,Kings XI Punjab,2014,Indian
Akshay Karnewar,All-Rounder,1000000,Royal Challengers Bangalore,2016,Indian
Akshay Wakhare,Bowler,1000000,Mumbai Indians,2015,Indian
Akshdeep Nath,All-Rounder,36000000,Royal Challengers Bangalore,2019,Indian
Albie Morkel,All-Rounder,3000000,Delhi Daredevils,2015,Overseas
Alex Carey,Wicket Keeper,24000000,Delhi Capitals,2020,Overseas
Ambati Rayudu,Wicket Keeper,22000000,Chennai Super Kings,2018,Indian
Amit Mishra,Bowler,40000000,Delhi Daredevils,2018,Indian
Amit Paunikar,Wicket Keeper,2000000,Sunrisers Hyderabad,2014,Indian
