player,number_of_not_outs,tot_runs,highest_score,tot_balls_faced,number_of_hundreds,number_of_fifties,number_of_fours,number_of_sixes,batting_average,batting_strike_rate,number_of_overs,runs,wickets,number_of_four_fers,number_of_five_fers,max_number_of_wickets_per_match,number_of_balls_bowled,bowling_average,bowling_strike_rate,total_matches,total_innings,role,amount,player_origin,player_id
aaron finch,4.0,1094.0,74.0,820.0,0.0,8.0,104.0,46.0,22.791666666666664,133.41463414634146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,46.0,Batsman,44000000.0,Overseas,62c74dbf-5cad-4e02-9860-459c16cd55d4
abdul samad,4.0,222.0,33.0,152.0,0.0,0.0,12.0,14.0,9.652173913043478,146.05263157894737,7.0,96.0,1.0,0.0,0.0,1.0,42.0,96.0,42.0,23.0,18.0,All-Rounder,2000000.0,Indian,b5f3235e-8afd-4f7d-9b98-514cecd1492e
abhishek sharma,6.0,241.0,46.0,173.0,0.0,0.0,17.0,12.0,10.954545454545453,139.3063583815029,22.0,176.0,7.0,0.0,0.0,2.0,132.0,25.142857142857142,18.857142857142858,22.0,20.0,All-Rounder,5500000.0,Indian,5a28989f-9926-47cd-bc77-3ae5a51f627e
adam milne,2.0,23.0,15.0,29.0,0.0,0.0,0.0,1.0,2.875,79.3103448275862,32.0,308.0,7.0,0.0,0.0,2.0,192.0,44.0,27.428571428571427,9.0,9.0,Bowler,32000000.0,Overseas,625af452-c08e-4cfa-b339-063fb791a4ee
adam zampa,0.0,5.0,5.0,8.0,0.0,0.0,1.0,0.0,0.4545454545454545,62.5,48.0,370.0,21.0,0.0,1.0,6.0,288.0,17.61904761904762,13.714285714285714,14.0,14.0,Bowler,3000000.0,Overseas,51b95e60-de99-4033-b1a5-6a9e09b921b6
aditya tare,0.0,26.0,18.0,38.0,0.0,0.0,4.0,0.0,4.333333333333333,68.42105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,Wicket Keeper,2000000.0,Indian,0ee28c45-26e7-4ac9-81a0-bad08e6d1565
ajinkya rahane,6.0,1746.0,105.0,1415.0,1.0,11.0,186.0,34.0,24.942857142857143,123.39222614840988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,66.0,Batsman,40000000.0,Indian,ee929553-8f12-499b-bdeb-eb68ee19fb95
akila dananjaya,1.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,4.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,All-Rounder,1500000.0,Overseas,7095afda-ac63-4062-b6af-a9faa740d7dc
akshdeep nath,0.0,90.0,24.0,98.0,0.0,0.0,7.0,2.0,6.428571428571429,91.83673469387757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,10.0,All-Rounder,36000000.0,Indian,a3077236-ec80-499b-a1d3-40d15e3529f5
albie morkel,0.0,16.0,16.0,9.0,0.0,0.0,0.0,2.0,8.0,177.77777777777777,5.0,66.0,2.0,0.0,0.0,4.0,30.0,33.0,15.0,2.0,2.0,All-Rounder,3000000.0,Overseas,b1906f4f-1957-451c-8ac7-b1ca0f0423ae
